127.0.0.1 - - [09/Jul/2022:10:56:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:05 +0900] "GET /root/ HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:11 +0900] "GET /root HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:11 +0900] "GET /root/ HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:11 +0900] "GET /root/member/memberInfo HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:13 +0900] "GET /root/member/login HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:16 +0900] "GET /root/board/noticeAllList HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:19 +0900] "GET /root/board/boardAllList HTTP/1.1" 200 2882
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:20 +0900] "GET /root/board/noticeAllList HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:20 +0900] "GET /root/member/memberInfo HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:21 +0900] "GET /root/member/login HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:22 +0900] "GET /root/board/noticeAllList HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:23 +0900] "GET /root/board/boardAllList HTTP/1.1" 200 2882
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:24 +0900] "GET /root/member/login HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:32 +0900] "POST /root/member/user_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:33 +0900] "GET /root/member/successLogin?id=aaa HTTP/1.1" 200 1838
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:34 +0900] "GET /root/member/memberInfo HTTP/1.1" 200 3005
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:39 +0900] "GET /root/board/boardAllList HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:41 +0900] "GET /root/board/boardAllList?num=2 HTTP/1.1" 200 2892
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:42 +0900] "GET /root/board/boardAllList?num=1 HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:42 +0900] "GET /root/board/noticeAllList HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:43 +0900] "GET /root/member/memberInfo HTTP/1.1" 200 3005
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:45 +0900] "GET /root HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:45 +0900] "GET /root/ HTTP/1.1" 200 1786
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:45 +0900] "GET /root/member/memberInfo HTTP/1.1" 200 3005
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:50 +0900] "GET /root/member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:50 +0900] "GET /root/ HTTP/1.1" 200 1784
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:51 +0900] "GET /root/member/login HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:56:53 +0900] "GET /root/member/register_form HTTP/1.1" 200 4289
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:57:13 +0900] "GET /root/board/boardAllList HTTP/1.1" 200 2882
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:57:13 +0900] "GET /root/member/login HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:57:19 +0900] "POST /root/member/user_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:57:19 +0900] "GET /root/member/login HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:57:24 +0900] "POST /root/member/user_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:57:24 +0900] "GET /root/member/login HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [09/Jul/2022:10:57:26 +0900] "POST /root/member/user_check HTTP/1.1" 302 -
